2020回撤窗口收益,2020回撤窗口最大回撤,信号切换次数,单周股指变化上限,回测区间,基础股指仓位,夏普比率,实验分组,平均周换手,平均资金占用,年化收益,年化波动,方案名称,最大单周换手,最大回撤,月度胜率,期末净值,目标波动,股指平均仓位,股指最大仓位,股指模式,风险预算
-6.80%,-6.95%,23,10.00%,2022年,15.00%,1.17,信号限速测试,6.37%,11.89%,7.28%,6.18%,固定仓位限速_15%_周变10pct,61.87%,-4.98%,66.67%,1.0698,,7.45%,15.00%,fixed,
-6.80%,-6.95%,23,10.00%,2023年,15.00%,2.93,信号限速测试,6.37%,12.16%,10.72%,3.49%,固定仓位限速_15%_周变10pct,61.87%,-2.05%,58.33%,1.1027,,7.45%,15.00%,fixed,
-6.80%,-6.95%,23,10.00%,2024年,15.00%,2.18,信号限速测试,6.37%,11.28%,11.61%,5.11%,固定仓位限速_15%_周变10pct,61.87%,-2.69%,75.00%,1.1113,,7.45%,15.00%,fixed,
-6.80%,-6.95%,23,10.00%,2025年,15.00%,2.12,信号限速测试,6.37%,13.19%,10.92%,4.95%,固定仓位限速_15%_周变10pct,61.87%,-2.98%,75.00%,1.1051,,7.45%,15.00%,fixed,
-6.80%,-6.95%,23,10.00%,2026年,15.00%,2.83,信号限速测试,6.37%,13.34%,22.43%,7.25%,固定仓位限速_15%_周变10pct,61.87%,-2.63%,100.00%,1.0460,,7.45%,15.00%,fixed,
-6.80%,-6.95%,23,10.00%,全局 (Total),15.00%,1.87,信号限速测试,6.51%,12.89%,10.28%,5.31%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-7.18%,69.70%,2.1692,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,训练期 (2018-2020),15.00%,1.67,信号限速测试,6.51%,13.50%,9.25%,5.38%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-7.18%,69.44%,1.2902,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,验证期 (2021-2026),15.00%,1.99,信号限速测试,6.51%,12.55%,10.88%,5.26%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-4.98%,69.84%,1.6813,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2018年,15.00%,0.94,信号限速测试,6.51%,13.00%,4.35%,4.62%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-4.14%,66.67%,1.0412,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2019年,15.00%,2.82,信号限速测试,6.51%,13.90%,12.71%,4.28%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-2.39%,75.00%,1.1229,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2020年,15.00%,1.52,信号限速测试,6.51%,13.58%,10.76%,6.87%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-7.18%,66.67%,1.1035,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2021年,15.00%,1.84,信号限速测试,6.51%,14.07%,11.62%,6.07%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-3.30%,66.67%,1.1119,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2022年,15.00%,1.19,信号限速测试,6.51%,11.89%,7.45%,6.18%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-4.98%,66.67%,1.0714,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2023年,15.00%,2.87,信号限速测试,6.51%,12.16%,10.48%,3.50%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-2.05%,58.33%,1.1004,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2024年,15.00%,2.34,信号限速测试,6.51%,11.26%,11.52%,4.70%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-2.69%,75.00%,1.1103,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2025年,15.00%,2.11,信号限速测试,6.51%,13.17%,10.75%,4.90%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-2.86%,75.00%,1.1034,15.00%,5.98%,15.00%,vol_scaled,
-6.80%,-6.95%,23,10.00%,2026年,15.00%,2.90,信号限速测试,6.51%,13.31%,22.88%,7.19%,波动率调整限速_15%_目标15%_周变10pct,61.87%,-2.63%,100.00%,1.0468,15.00%,5.98%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,全局 (Total),15.00%,1.84,信号限速测试,6.41%,12.91%,10.48%,5.49%,固定仓位限速_15%_周变15pct,61.87%,-7.10%,69.70%,2.2007,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,训练期 (2018-2020),15.00%,1.65,信号限速测试,6.41%,13.52%,9.56%,5.65%,固定仓位限速_15%_周变15pct,61.87%,-7.10%,69.44%,1.3008,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,验证期 (2021-2026),15.00%,1.96,信号限速测试,6.41%,12.56%,11.01%,5.41%,固定仓位限速_15%_周变15pct,61.87%,-4.98%,69.84%,1.6917,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2018年,15.00%,0.94,信号限速测试,6.41%,13.00%,4.39%,4.71%,固定仓位限速_15%_周变15pct,61.87%,-4.22%,66.67%,1.0416,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2019年,15.00%,2.54,信号限速测试,6.41%,13.97%,13.08%,4.88%,固定仓位限速_15%_周变15pct,61.87%,-3.04%,75.00%,1.1264,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2020年,15.00%,1.56,信号限速测试,6.41%,13.59%,11.30%,7.04%,固定仓位限速_15%_周变15pct,61.87%,-7.10%,66.67%,1.1087,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2021年,15.00%,1.76,信号限速测试,6.41%,14.08%,11.39%,6.23%,固定仓位限速_15%_周变15pct,61.87%,-3.29%,66.67%,1.1096,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2022年,15.00%,1.15,信号限速测试,6.41%,11.89%,7.18%,6.18%,固定仓位限速_15%_周变15pct,61.87%,-4.98%,66.67%,1.0688,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2023年,15.00%,2.96,信号限速测试,6.41%,12.15%,10.79%,3.49%,固定仓位限速_15%_周变15pct,61.87%,-2.05%,58.33%,1.1034,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2024年,15.00%,2.21,信号限速测试,6.41%,11.28%,12.15%,5.25%,固定仓位限速_15%_周变15pct,61.87%,-2.69%,75.00%,1.1164,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2025年,15.00%,2.16,信号限速测试,6.41%,13.20%,11.12%,4.95%,固定仓位限速_15%_周变15pct,61.87%,-2.86%,75.00%,1.1070,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,2026年,15.00%,2.83,信号限速测试,6.41%,13.34%,22.43%,7.25%,固定仓位限速_15%_周变15pct,61.87%,-2.63%,100.00%,1.0460,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,15.00%,全局 (Total),15.00%,1.88,信号限速测试,6.52%,12.89%,10.32%,5.29%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-7.10%,69.70%,2.1753,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,训练期 (2018-2020),15.00%,1.70,信号限速测试,6.52%,13.50%,9.32%,5.33%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-7.10%,69.44%,1.2926,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,验证期 (2021-2026),15.00%,1.99,信号限速测试,6.52%,12.54%,10.90%,5.26%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-4.98%,69.84%,1.6829,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2018年,15.00%,0.96,信号限速测试,6.52%,13.00%,4.44%,4.62%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-4.14%,66.67%,1.0421,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2019年,15.00%,2.82,信号限速测试,6.52%,13.90%,12.73%,4.28%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-2.39%,75.00%,1.1231,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2020年,15.00%,1.56,信号限速测试,6.52%,13.58%,10.85%,6.75%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-7.10%,66.67%,1.1045,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2021年,15.00%,1.84,信号限速测试,6.52%,14.07%,11.61%,6.08%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-3.30%,66.67%,1.1118,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2022年,15.00%,1.19,信号限速测试,6.52%,11.89%,7.42%,6.18%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-4.98%,66.67%,1.0712,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2023年,15.00%,2.89,信号限速测试,6.52%,12.15%,10.56%,3.49%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-2.05%,58.33%,1.1012,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2024年,15.00%,2.34,信号限速测试,6.52%,11.26%,11.52%,4.70%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-2.69%,75.00%,1.1103,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2025年,15.00%,2.12,信号限速测试,6.52%,13.17%,10.81%,4.90%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-2.86%,75.00%,1.1040,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,15.00%,2026年,15.00%,2.90,信号限速测试,6.52%,13.31%,22.88%,7.19%,波动率调整限速_15%_目标15%_周变15pct,61.87%,-2.63%,100.00%,1.0468,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,全局 (Total),15.00%,1.84,信号限速测试,6.41%,12.91%,10.48%,5.49%,固定仓位限速_15%_周变20pct,61.87%,-7.10%,69.70%,2.2007,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,训练期 (2018-2020),15.00%,1.65,信号限速测试,6.41%,13.52%,9.56%,5.65%,固定仓位限速_15%_周变20pct,61.87%,-7.10%,69.44%,1.3008,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,验证期 (2021-2026),15.00%,1.96,信号限速测试,6.41%,12.56%,11.01%,5.41%,固定仓位限速_15%_周变20pct,61.87%,-4.98%,69.84%,1.6917,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2018年,15.00%,0.94,信号限速测试,6.41%,13.00%,4.39%,4.71%,固定仓位限速_15%_周变20pct,61.87%,-4.22%,66.67%,1.0416,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2019年,15.00%,2.54,信号限速测试,6.41%,13.97%,13.08%,4.88%,固定仓位限速_15%_周变20pct,61.87%,-3.04%,75.00%,1.1264,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2020年,15.00%,1.56,信号限速测试,6.41%,13.59%,11.30%,7.04%,固定仓位限速_15%_周变20pct,61.87%,-7.10%,66.67%,1.1087,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2021年,15.00%,1.76,信号限速测试,6.41%,14.08%,11.39%,6.23%,固定仓位限速_15%_周变20pct,61.87%,-3.29%,66.67%,1.1096,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2022年,15.00%,1.15,信号限速测试,6.41%,11.89%,7.18%,6.18%,固定仓位限速_15%_周变20pct,61.87%,-4.98%,66.67%,1.0688,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2023年,15.00%,2.96,信号限速测试,6.41%,12.15%,10.79%,3.49%,固定仓位限速_15%_周变20pct,61.87%,-2.05%,58.33%,1.1034,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2024年,15.00%,2.21,信号限速测试,6.41%,11.28%,12.15%,5.25%,固定仓位限速_15%_周变20pct,61.87%,-2.69%,75.00%,1.1164,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2025年,15.00%,2.16,信号限速测试,6.41%,13.20%,11.12%,4.95%,固定仓位限速_15%_周变20pct,61.87%,-2.86%,75.00%,1.1070,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,2026年,15.00%,2.83,信号限速测试,6.41%,13.34%,22.43%,7.25%,固定仓位限速_15%_周变20pct,61.87%,-2.63%,100.00%,1.0460,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,20.00%,全局 (Total),15.00%,1.88,信号限速测试,6.52%,12.89%,10.32%,5.29%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-7.10%,69.70%,2.1753,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,训练期 (2018-2020),15.00%,1.70,信号限速测试,6.52%,13.50%,9.32%,5.33%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-7.10%,69.44%,1.2926,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,验证期 (2021-2026),15.00%,1.99,信号限速测试,6.52%,12.54%,10.90%,5.26%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-4.98%,69.84%,1.6829,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2018年,15.00%,0.96,信号限速测试,6.52%,13.00%,4.44%,4.62%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-4.14%,66.67%,1.0421,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2019年,15.00%,2.82,信号限速测试,6.52%,13.90%,12.73%,4.28%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-2.39%,75.00%,1.1231,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2020年,15.00%,1.56,信号限速测试,6.52%,13.58%,10.85%,6.75%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-7.10%,66.67%,1.1045,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2021年,15.00%,1.84,信号限速测试,6.52%,14.07%,11.61%,6.08%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-3.30%,66.67%,1.1118,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2022年,15.00%,1.19,信号限速测试,6.52%,11.89%,7.42%,6.18%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-4.98%,66.67%,1.0712,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2023年,15.00%,2.89,信号限速测试,6.52%,12.15%,10.56%,3.49%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-2.05%,58.33%,1.1012,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2024年,15.00%,2.34,信号限速测试,6.52%,11.26%,11.52%,4.70%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-2.69%,75.00%,1.1103,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2025年,15.00%,2.12,信号限速测试,6.52%,13.17%,10.81%,4.90%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-2.86%,75.00%,1.1040,15.00%,5.96%,15.00%,vol_scaled,
-6.72%,-6.87%,23,20.00%,2026年,15.00%,2.90,信号限速测试,6.52%,13.31%,22.88%,7.19%,波动率调整限速_15%_目标15%_周变20pct,61.87%,-2.63%,100.00%,1.0468,15.00%,5.96%,15.00%,vol_scaled,
-6.66%,-6.79%,23,,全局 (Total),20.00%,1.90,波动率调整测试,6.43%,12.88%,10.11%,5.15%,波动率调整_20%_目标8%,63.30%,-7.05%,70.71%,2.1433,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,训练期 (2018-2020),20.00%,1.67,波动率调整测试,6.43%,13.49%,8.78%,5.11%,波动率调整_20%_目标8%,63.30%,-7.05%,72.22%,1.2743,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,验证期 (2021-2026),20.00%,2.02,波动率调整测试,6.43%,12.53%,10.89%,5.18%,波动率调整_20%_目标8%,63.30%,-4.98%,69.84%,1.6820,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2018年,20.00%,1.05,波动率调整测试,6.43%,13.02%,4.72%,4.49%,波动率调整_20%_目标8%,63.30%,-3.68%,66.67%,1.0448,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2019年,20.00%,2.84,波动率调整测试,6.43%,13.88%,11.82%,3.97%,波动率调整_20%_目标8%,63.30%,-2.16%,83.33%,1.1142,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2020年,20.00%,1.47,波动率调整测试,6.43%,13.58%,9.83%,6.53%,波动率调整_20%_目标8%,63.30%,-7.05%,66.67%,1.0946,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2021年,20.00%,1.94,波动率调整测试,6.43%,14.05%,12.04%,5.96%,波动率调整_20%_目标8%,63.30%,-3.32%,66.67%,1.1159,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2022年,20.00%,1.22,波动率调整测试,6.43%,11.89%,7.64%,6.17%,波动率调整_20%_目标8%,63.30%,-4.98%,66.67%,1.0733,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2023年,20.00%,2.88,波动率调整测试,6.43%,12.14%,10.37%,3.45%,波动率调整_20%_目标8%,63.30%,-2.05%,58.33%,1.0994,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2024年,20.00%,2.37,波动率调整测试,6.43%,11.26%,11.34%,4.58%,波动率调整_20%_目标8%,63.30%,-2.69%,75.00%,1.1086,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2025年,20.00%,2.07,波动率调整测试,6.43%,13.14%,10.34%,4.81%,波动率调整_20%_目标8%,63.30%,-2.86%,75.00%,1.0995,8.00%,4.43%,14.90%,vol_scaled,
-6.66%,-6.79%,23,,2026年,20.00%,3.07,波动率调整测试,6.43%,13.24%,23.44%,6.93%,波动率调整_20%_目标8%,63.30%,-2.54%,100.00%,1.0479,8.00%,4.43%,14.90%,vol_scaled,
-6.76%,-6.92%,23,,全局 (Total),20.00%,1.90,波动率调整测试,6.54%,12.89%,10.29%,5.24%,波动率调整_20%_目标10%,60.93%,-7.13%,70.71%,2.1703,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,训练期 (2018-2020),20.00%,1.69,波动率调整测试,6.54%,13.49%,9.11%,5.25%,波动率调整_20%_目标10%,60.93%,-7.13%,72.22%,1.2857,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,验证期 (2021-2026),20.00%,2.01,波动率调整测试,6.54%,12.54%,10.97%,5.24%,波动率调整_20%_目标10%,60.93%,-4.98%,69.84%,1.6880,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2018年,20.00%,1.00,波动率调整测试,6.54%,13.00%,4.55%,4.57%,波动率调整_20%_目标10%,60.93%,-3.96%,66.67%,1.0431,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2019年,20.00%,2.83,波动率调整测试,6.54%,13.89%,12.44%,4.17%,波动率调整_20%_目标10%,60.93%,-2.30%,83.33%,1.1203,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2020年,20.00%,1.52,波动率调整测试,6.54%,13.58%,10.41%,6.67%,波动率调整_20%_目标10%,60.93%,-7.13%,66.67%,1.1002,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2021年,20.00%,1.88,波动率调整测试,6.54%,14.06%,11.78%,6.02%,波动率调整_20%_目标10%,60.93%,-3.31%,66.67%,1.1134,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2022年,20.00%,1.20,波动率调整测试,6.54%,11.89%,7.51%,6.17%,波动率调整_20%_目标10%,60.93%,-4.98%,66.67%,1.0720,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2023年,20.00%,2.83,波动率调整测试,6.54%,12.16%,10.35%,3.50%,波动率调整_20%_目标10%,60.93%,-2.05%,58.33%,1.0992,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2024年,20.00%,2.35,波动率调整测试,6.54%,11.26%,11.45%,4.65%,波动率调整_20%_目标10%,60.93%,-2.69%,75.00%,1.1097,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2025年,20.00%,2.19,波动率调整测试,6.54%,13.17%,11.15%,4.89%,波动率调整_20%_目标10%,60.93%,-2.86%,75.00%,1.1073,10.00%,5.54%,18.63%,vol_scaled,
-6.76%,-6.92%,23,,2026年,20.00%,2.96,波动率调整测试,6.54%,13.28%,23.03%,7.10%,波动率调整_20%_目标10%,60.93%,-2.61%,100.00%,1.0471,10.00%,5.54%,18.63%,vol_scaled,
-6.87%,-7.05%,23,,全局 (Total),20.00%,1.89,波动率调整测试,6.64%,12.90%,10.44%,5.34%,波动率调整_20%_目标12%,58.55%,-7.20%,68.69%,2.1934,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,训练期 (2018-2020),20.00%,1.70,波动率调整测试,6.64%,13.49%,9.45%,5.41%,波动率调整_20%_目标12%,58.55%,-7.20%,66.67%,1.2972,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,验证期 (2021-2026),20.00%,1.99,波动率调整测试,6.64%,12.55%,11.00%,5.31%,波动率调整_20%_目标12%,58.55%,-4.98%,69.84%,1.6909,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2018年,20.00%,0.94,波动率调整测试,6.64%,12.99%,4.38%,4.66%,波动率调整_20%_目标12%,58.55%,-4.24%,66.67%,1.0415,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2019年,20.00%,2.82,波动率调整测试,6.64%,13.90%,13.07%,4.40%,波动率调整_20%_目标12%,58.55%,-2.44%,66.67%,1.1263,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2020年,20.00%,1.56,波动率调整测试,6.64%,13.58%,11.00%,6.83%,波动率调整_20%_目标12%,58.55%,-7.20%,66.67%,1.1059,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2021年,20.00%,1.81,波动率调整测试,6.64%,14.07%,11.51%,6.11%,波动率调整_20%_目标12%,58.55%,-3.30%,66.67%,1.1108,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2022年,20.00%,1.18,波动率调整测试,6.64%,11.89%,7.37%,6.18%,波动率调整_20%_目标12%,58.55%,-4.98%,66.67%,1.0707,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2023年,20.00%,2.78,波动率调整测试,6.64%,12.17%,10.33%,3.56%,波动率调整_20%_目标12%,58.55%,-2.05%,58.33%,1.0990,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2024年,20.00%,2.33,波动率调整测试,6.64%,11.26%,11.56%,4.73%,波动率调整_20%_目标12%,58.55%,-2.69%,75.00%,1.1107,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2025年,20.00%,2.25,波动率调整测试,6.64%,13.19%,11.75%,4.99%,波动率调整_20%_目标12%,58.55%,-2.86%,75.00%,1.1130,12.00%,6.63%,20.00%,vol_scaled,
-6.87%,-7.05%,23,,2026年,20.00%,2.84,波动率调整测试,6.64%,13.32%,22.62%,7.28%,波动率调整_20%_目标12%,58.55%,-2.67%,100.00%,1.0464,12.00%,6.63%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,全局 (Total),20.00%,1.87,波动率调整测试,6.72%,12.90%,10.62%,5.49%,波动率调整_20%_目标15%,58.23%,-7.22%,68.69%,2.2223,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,训练期 (2018-2020),20.00%,1.71,波动率调整测试,6.72%,13.50%,9.95%,5.64%,波动率调整_20%_目标15%,58.23%,-7.22%,66.67%,1.3142,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,验证期 (2021-2026),20.00%,1.96,波动率调整测试,6.72%,12.56%,11.01%,5.41%,波动率调整_20%_目标15%,58.23%,-4.98%,69.84%,1.6911,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2018年,20.00%,0.86,波动率调整测试,6.72%,12.97%,4.12%,4.81%,波动率调整_20%_目标15%,58.23%,-4.67%,66.67%,1.0390,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2019年,20.00%,2.77,波动率调整测试,6.72%,13.93%,13.88%,4.73%,波动率调整_20%_目标15%,58.23%,-2.65%,66.67%,1.1341,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2020年,20.00%,1.64,波动率调整测试,6.72%,13.58%,11.98%,7.07%,波动率调整_20%_目标15%,58.23%,-7.22%,66.67%,1.1153,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2021年,20.00%,1.71,波动率调整测试,6.72%,14.09%,11.11%,6.29%,波动率调整_20%_目标15%,58.23%,-3.30%,66.67%,1.1070,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2022年,20.00%,1.15,波动率调整测试,6.72%,11.89%,7.17%,6.18%,波动率调整_20%_目标15%,58.23%,-4.98%,66.67%,1.0688,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2023年,20.00%,2.82,波动率调整测试,6.72%,12.17%,10.58%,3.59%,波动率调整_20%_目标15%,58.23%,-2.05%,58.33%,1.1014,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2024年,20.00%,2.30,波动率调整测试,6.72%,11.26%,11.72%,4.86%,波动率调整_20%_目标15%,58.23%,-2.69%,75.00%,1.1123,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2025年,20.00%,2.26,波动率调整测试,6.72%,13.21%,12.05%,5.09%,波动率调整_20%_目标15%,58.23%,-2.86%,75.00%,1.1160,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,2026年,20.00%,2.68,波动率调整测试,6.72%,13.38%,22.14%,7.57%,波动率调整_20%_目标15%,58.23%,-2.75%,100.00%,1.0454,15.00%,7.95%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,全局 (Total),20.00%,1.85,波动率调整测试,6.70%,12.91%,10.73%,5.61%,波动率调整_20%_目标18%,58.23%,-7.22%,67.68%,2.2403,18.00%,8.89%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,训练期 (2018-2020),20.00%,1.70,波动率调整测试,6.70%,13.51%,10.23%,5.82%,波动率调整_20%_目标18%,58.23%,-7.22%,66.67%,1.3240,18.00%,8.89%,20.00%,vol_scaled,
-6.89%,-7.07%,23,,验证期 (2021-2026),20.00%,1.93,波动率调整测试,6.70%,12.57%,11.02%,5.48%,波动率调整_20%_目标18%,58.23%,-4.98%,68.25%,1.6921,18.00%,8.89%,20.00%,vol_scaled,
